TIMESTAMP, READING, VALUE
2020-08-24 13:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 13:00:00,PX_RECTIFIER_LOAD,2.5295
2020-08-24 13:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 13:30:00,PX_GENERATOR_POWER,0.0000
2020-08-24 13:30:00,PX_RECTIFIER_LOAD,2.6642
2020-08-24 13:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 14:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 14:00:00,PX_RECTIFIER_LOAD,2.5264
2020-08-24 14:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 14:30:00,PX_GENERATOR_POWER,0.0000
2020-08-24 14:30:00,PX_RECTIFIER_LOAD,2.5968
2020-08-24 14:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 15:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 15:00:00,PX_RECTIFIER_LOAD,2.4687
2020-08-24 15:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 15:30:00,PX_GENERATOR_POWER,0.0000
2020-08-24 15:30:00,PX_RECTIFIER_LOAD,2.5208
2020-08-24 15:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 16:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 16:00:00,PX_RECTIFIER_LOAD,2.5596
2020-08-24 16:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 16:30:00,PX_GENERATOR_POWER,0.0000
2020-08-24 16:30:00,PX_RECTIFIER_LOAD,2.4896
2020-08-24 16:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 17:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 17:00:00,PX_RECTIFIER_LOAD,2.5438
2020-08-24 17:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 17:30:00,PX_GENERATOR_POWER,0.0000
2020-08-24 17:30:00,PX_RECTIFIER_LOAD,2.6037
2020-08-24 17:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 18:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 18:00:00,PX_RECTIFIER_LOAD,2.4946
2020-08-24 18:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 18:30:00,PX_GENERATOR_POWER,0.0000
2020-08-24 18:30:00,PX_RECTIFIER_LOAD,2.5308
2020-08-24 18:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 19:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 19:00:00,PX_RECTIFIER_LOAD,2.4626
2020-08-24 19:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 19:30:00,PX_GENERATOR_POWER,4.3241
2020-08-24 19:30:00,PX_RECTIFIER_LOAD,2.4058
2020-08-24 19:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 20:00:00,PX_GENERATOR_POWER,10.5802
2020-08-24 20:00:00,PX_RECTIFIER_LOAD,2.3862
2020-08-24 20:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 20:30:00,PX_GENERATOR_POWER,1.1941
2020-08-24 20:30:00,PX_RECTIFIER_LOAD,2.5188
2020-08-24 20:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 21:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 21:00:00,PX_RECTIFIER_LOAD,2.4961
2020-08-24 21:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 21:30:00,PX_GENERATOR_POWER,0.0000
2020-08-24 21:30:00,PX_RECTIFIER_LOAD,2.4461
2020-08-24 21:30:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 22:00:00,PX_GENERATOR_POWER,0.0000
2020-08-24 22:00:00,PX_RECTIFIER_LOAD,2.4295
2020-08-24 22:00:00,PX_GENERATOR_1_FUEL_LEVEL,391.5400
2020-08-24 22:30:00,PX_GENERATOR_POWER,0.0000
2020-08-24 22:30:00,PX_RECTIFIER_LOAD,2.4296
2020-08-24 22:30:00,PX_GENERATOR_1_FUEL_LEVEL,389.4800
2020-08-24 23:00:00,PX_GENERATOR_POWER,1.0024
2020-08-24 23:00:00,PX_RECTIFIER_LOAD,2.3924
2020-08-24 23:00:00,PX_GENERATOR_1_FUEL_LEVEL,389.4800
2020-08-24 23:30:00,PX_GENERATOR_POWER,10.3754
2020-08-24 23:30:00,PX_RECTIFIER_LOAD,2.3321
2020-08-24 23:30:00,PX_GENERATOR_1_FUEL_LEVEL,386.7500
2020-08-25 00:00:00,PX_GENERATOR_POWER,4.9831
2020-08-25 00:00:00,PX_RECTIFIER_LOAD,2.3740
2020-08-25 00:00:00,PX_GENERATOR_1_FUEL_LEVEL,385.3800
2020-08-25 00:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 00:30:00,PX_RECTIFIER_LOAD,2.3804
2020-08-25 00:30:00,PX_GENERATOR_1_FUEL_LEVEL,385.3800
2020-08-25 01:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 01:00:00,PX_RECTIFIER_LOAD,2.3691
2020-08-25 01:00:00,PX_GENERATOR_1_FUEL_LEVEL,385.3800
2020-08-25 01:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 01:30:00,PX_RECTIFIER_LOAD,2.3960
2020-08-25 01:30:00,PX_GENERATOR_1_FUEL_LEVEL,384.0100
2020-08-25 02:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 02:00:00,PX_RECTIFIER_LOAD,2.4090
2020-08-25 02:00:00,PX_GENERATOR_1_FUEL_LEVEL,384.0100
2020-08-25 02:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 02:30:00,PX_RECTIFIER_LOAD,2.4104
2020-08-25 02:30:00,PX_GENERATOR_1_FUEL_LEVEL,384.0100
2020-08-25 03:00:00,PX_GENERATOR_POWER,7.9983
2020-08-25 03:00:00,PX_RECTIFIER_LOAD,2.3377
2020-08-25 03:00:00,PX_GENERATOR_1_FUEL_LEVEL,381.9600
2020-08-25 03:30:00,PX_GENERATOR_POWER,10.5964
2020-08-25 03:30:00,PX_RECTIFIER_LOAD,2.3273
2020-08-25 03:30:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 04:00:00,PX_GENERATOR_POWER,0.1443
2020-08-25 04:00:00,PX_RECTIFIER_LOAD,2.3859
2020-08-25 04:00:00,PX_GENERATOR_1_FUEL_LEVEL,380.5900
2020-08-25 04:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 04:30:00,PX_RECTIFIER_LOAD,2.3742
2020-08-25 04:30:00,PX_GENERATOR_1_FUEL_LEVEL,380.5900
2020-08-25 05:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 05:00:00,PX_RECTIFIER_LOAD,2.3811
2020-08-25 05:00:00,PX_GENERATOR_1_FUEL_LEVEL,380.5900
2020-08-25 05:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 05:30:00,PX_RECTIFIER_LOAD,2.4074
2020-08-25 05:30:00,PX_GENERATOR_1_FUEL_LEVEL,378.5400
2020-08-25 06:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 06:00:00,PX_RECTIFIER_LOAD,2.4002
2020-08-25 06:00:00,PX_GENERATOR_1_FUEL_LEVEL,378.5400
2020-08-25 06:30:00,PX_GENERATOR_POWER,2.3750
2020-08-25 06:30:00,PX_RECTIFIER_LOAD,2.3967
2020-08-25 06:30:00,PX_GENERATOR_1_FUEL_LEVEL,377.1700
2020-08-25 07:00:00,PX_GENERATOR_POWER,10.2365
2020-08-25 07:00:00,PX_RECTIFIER_LOAD,2.3251
2020-08-25 07:00:00,PX_GENERATOR_1_FUEL_LEVEL,375.8000
2020-08-25 07:30:00,PX_GENERATOR_POWER,2.6028
2020-08-25 07:30:00,PX_RECTIFIER_LOAD,2.3706
2020-08-25 07:30:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 08:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 08:00:00,PX_RECTIFIER_LOAD,2.3972
2020-08-25 08:00:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 08:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 08:30:00,PX_RECTIFIER_LOAD,2.4493
2020-08-25 08:30:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 09:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 09:00:00,PX_RECTIFIER_LOAD,2.5406
2020-08-25 09:00:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 09:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 09:30:00,PX_RECTIFIER_LOAD,2.4774
2020-08-25 09:30:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 10:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 10:00:00,PX_RECTIFIER_LOAD,2.6270
2020-08-25 10:00:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 10:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 10:30:00,PX_RECTIFIER_LOAD,2.5660
2020-08-25 10:30:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 11:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 11:00:00,PX_RECTIFIER_LOAD,2.6186
2020-08-25 11:00:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 11:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 11:30:00,PX_RECTIFIER_LOAD,2.6907
2020-08-25 11:30:00,PX_GENERATOR_1_FUEL_LEVEL,373.7400
2020-08-25 12:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 12:00:00,PX_RECTIFIER_LOAD,2.5095
2020-08-25 12:00:00,PX_GENERATOR_1_FUEL_LEVEL,378.5400
2020-08-25 12:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 12:30:00,PX_RECTIFIER_LOAD,2.6259
2020-08-25 12:30:00,PX_GENERATOR_1_FUEL_LEVEL,378.5400
2020-08-25 13:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 13:00:00,PX_RECTIFIER_LOAD,2.8195
2020-08-25 13:00:00,PX_GENERATOR_1_FUEL_LEVEL,378.5400
2020-08-25 13:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 13:30:00,PX_RECTIFIER_LOAD,2.5856
